group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,261,loss,13,0,0,0,0,NA,NA
High-Risk,261,win,4,0,0,0,0,NA,NA
High-Risk,262,loss,992,6,0.6048387096774194,-7.560483870967742e-4,-0.0020161290322580645,-0.125,-0.3333333333333333
High-Risk,262,win,271,3,1.107011070110701,0.0036900369003690036,0.01107011070110701,0.3333333333333333,1
High-Risk,263,loss,88,0,0,0,0,NA,NA
High-Risk,263,win,18,0,0,0,0,NA,NA
High-Risk,264,loss,25,0,0,0,0,NA,NA
High-Risk,264,win,4,0,0,0,0,NA,NA
High-Risk,265,loss,264,11,4.166666666666666,-0.002840909090909091,-0.011363636363636364,-0.06818181818181818,-0.2727272727272727
High-Risk,265,win,88,0,0,0,0,NA,NA
High-Risk,266,loss,9839,15,0.15245451773554222,-4.065453806281126e-4,-8.130907612562252e-4,-0.26666666666666666,-0.5333333333333333
High-Risk,266,win,2809,1,0.0355998576005696,-1.77999288002848e-4,-3.55998576005696e-4,-0.5,-1
